country_code,country_name_en,country_name_ko,capital,currency,timezone,primary_language,monthly_cost_usd_mid,rent_1br_city_usd,meal_avg_usd,transport_monthly_usd,internet_speed_mbps,internet_reliability,avg_temp_celsius,climate_type,rainy_season,dry_season,coworking_spaces_level,english_level,gpi_rank_2024,nomad_popularity_rank,nomad_visa_available,notes
THA,Thailand,태국,Bangkok,THB,UTC+7,Thai,1500,700,5,50,150,높음,28,열대 몬순,5월~10월,11월~4월,매우높음,보통,76,3,Y,치앙마이/방콕 노마드 허브; DTV 비자 2024년 도입
PRT,Portugal,포르투갈,Lisbon,EUR,UTC+0,Portuguese,2500,1200,12,45,150,높음,17,지중해성,10월~3월,4월~9월,매우높음,높음,7,4,Y,D8 비자; 리스본·포르투 인기; EU 생활 가능
IDN,Indonesia (Bali),인도네시아 (발리),Jakarta,IDR,UTC+8 (Bali WITA),Indonesian,2000,650,5,80,150,보통,28,열대 습윤,11월~3월,4월~10월,매우높음,보통,50,2,Y,E33G 원격근로 비자; 캉구 코워킹 허브
GEO,Georgia,조지아,Tbilisi,GEL,UTC+4,Georgian,1300,700,7,40,150,높음,14,아열대/대륙성,봄·가을 우기,여름·겨울,높음,보통,71,7,Y,Remotely from Georgia 프로그램; 무비자 1년 체류 가능 (한국인)
EST,Estonia,에스토니아,Tallinn,EUR,UTC+2,Estonian,2200,800,12,30,150,매우높음,7,북부 해양성,가을~봄,여름,높음,매우높음,15,12,Y,Digital Nomad Visa 선구자; e-Residency 프로그램 세계적 유명
MEX,Mexico,멕시코,Mexico City,MXN,UTC-6,Spanish,2000,800,6,30,70,보통,18,고원 온대 (CDMX),6월~9월,10월~5월,매우높음,보통,138,8,N,전용 DN 비자 없음; 임시거주비자 활용; 오악사카·플라야델카르멘 인기
COL,Colombia (Medellín),콜롬비아 (메데진),Bogotá,COP,UTC-5,Spanish,1600,500,6,30,100,높음,22,열대 고원 (메데진 '영원한 봄'),4~5월·10~11월,1~3월·7~9월,매우높음,보통,130,6,Y,공식 DN 비자 보유; 메데진 노마드 허브; 저렴한 물가
CZE,Czech Republic,체코,Prague,CZK,UTC+1,Czech,2300,1100,10,30,160,매우높음,10,대륙성,봄·가을,여름,높음,높음,11,13,N,전용 DN 비자 없음 (EU 솅겐 90일); 프라하 인프라 우수
HUN,Hungary,헝가리,Budapest,HUF,UTC+1,Hungarian,2000,900,9,30,175,매우높음,11,대륙성,봄·가을,여름,높음,높음,50,14,Y,White Card (DN 비자); 부다페스트 저렴한 유럽 생활; 솅겐 지역
ESP,Spain (Canary Islands),스페인 (카나리아 제도),Madrid / Las Palmas,EUR,UTC+0 (Canarias),Spanish,2500,1000,13,50,170,매우높음,22,아열대 (카나리아 제도),11월~2월,5월~9월,높음,보통,34,5,Y,DN 비자 보유; 카나리아 제도 연중 온난; 라스팔마스 인기 도시
VNM,Vietnam,베트남,Hanoi,VND,UTC+7,Vietnamese,1000,400,3,30,163,높음,27,열대 몬순,5월~11월 (남부),12월~4월,높음,보통,41,9,N,전용 DN 비자 없음; e비자 90일; 저렴한 물가; 다낭·호치민 인기
MYS,Malaysia,말레이시아,Kuala Lumpur,MYR,UTC+8,Malay/English,1600,450,5,50,75,높음,27,열대 습윤,연중 산발 (북동 몬순 11~3월),없음,높음,매우높음,10,10,Y,DE Rantau 노마드 비자; 영어 공용어; 코타키나발루·KL 인기
PHL,Philippines,필리핀,Manila,PHP,UTC+8,Filipino/English,1500,450,4,50,94,보통,27,열대 몬순,6월~11월 (태풍),12월~5월,높음,매우높음,94,11,Y,2025년 DN 비자 출시; 세부 IT파크 코워킹 허브
HRV,Croatia,크로아티아,Zagreb,EUR,UTC+1,Croatian,2200,750,12,30,130,높음,14,지중해 (해안)/대륙성 (내륙),가을·겨울,봄·여름,보통,높음,22,15,Y,DN 비자 보유 (2021 도입); 스플리트·두브로브니크 인기; EU 솅겐
DEU,Germany,독일,Berlin,EUR,UTC+1,German,3000,1500,15,90,150,매우높음,10,온대 해양성/대륙성,가을~봄,여름,매우높음,매우높음,20,17,N,전용 DN 비자 없음; Freiberufler(프리랜서)비자 활용; 베를린 스타트업 허브
NLD,Netherlands,네덜란드,Amsterdam,EUR,UTC+1,Dutch,3500,2000,18,100,175,매우높음,11,해양성,연중 (특히 가을~겨울),여름,매우높음,매우높음,18,18,N,전용 DN 비자 없음; MVV 자영업 비자 활용; 암스테르담 높은 물가
CRI,Costa Rica,코스타리카,San José,CRC/USD,UTC-6,Spanish,2500,700,10,60,95,높음,24,열대 몬순,5월~11월,12월~4월,높음,보통,40,16,Y,DN 비자 보유; 생태 관광 허브; 아열대 자연
PAN,Panama,파나마,Panama City,USD,UTC-5,Spanish,2500,950,10,50,90,높음,27,열대 습윤,5월~12월,1월~4월,보통,높음,48,19,Y,DN 비자 보유; USD 사용; 중미 금융 허브
ROU,Romania,루마니아,Bucharest,RON,UTC+2,Romanian,1500,650,7,20,230,매우높음,11,대륙성,봄·가을,여름,높음,높음,37,20,Y,DN 비자 보유; EU 내 최고 인터넷 속도 중 하나; 저렴한 물가
BGR,Bulgaria,불가리아,Sofia,BGN,UTC+2,Bulgarian,1500,550,7,25,180,매우높음,13,대륙성,봄·가을,여름,보통,보통,40,21,Y,2025년 DN 비자 도입; 솅겐 가입; 저렴한 유럽 물가
ARG,Argentina,아르헨티나,Buenos Aires,ARS,UTC-3,Spanish,1500,550,7,40,152,높음,18,아열대 (BA)/온대,3~4월 (BA),없음,높음,보통,78,22,Y,DN 비자 보유; 환율 혜택; 부에노스아이레스 카페 문화
URY,Uruguay,우루과이,Montevideo,UYU,UTC-3,Spanish,2000,800,10,30,160,높음,17,온대 해양성,연중 고른 강수,없음,보통,보통,38,23,Y,DN 퍼밋 보유; 최소 소득 요건 없음; 남미 선진국
MAR,Morocco,모로코,Rabat,MAD,UTC+1,Arabic/French,1000,500,6,30,35,보통,18,지중해/사막,10월~3월,4월~9월,보통,보통,78,24,N,공식 DN 비자 없음 (2025년 도입 예정); 마라케시·아가디르 인기; 저렴한 물가
ARE,UAE (Dubai),아랍에미리트 (두바이),Abu Dhabi / Dubai,AED,UTC+4,Arabic/English,4000,2200,15,80,200,매우높음,28,사막,없음 (드문 강수),10월~5월 (온화),매우높음,매우높음,38,25,Y,Virtual Working Programme; 무세금; 세계적 인프라; 여름 혹서 (45°C+)
CPV,Cape Verde,카보베르데,Praia,CVE,UTC-1,Portuguese/Creole,1400,550,7,30,40,보통,25,열대 건조,8월~10월,11월~7월,낮음,낮음,45,26,Y,Remote Working Program; 대서양 섬나라; 한적한 노마드 생활 가능
