country_code,country_name_en,country_name_ko,capital,currency,timezone,primary_language,monthly_cost_usd_mid,rent_1br_city_usd,meal_avg_usd,transport_monthly_usd,internet_speed_mbps,internet_reliability,avg_temp_celsius,climate_type,rainy_season,dry_season,coworking_spaces_level,english_level,gpi_rank_2024,nomad_popularity_rank,nomad_visa_available,notes,last_verified,schengen,cost_tier,tax_residency_days,double_tax_treaty_with_kr
ALB,Albania,알바니아,Tirana,ALL,UTC+1,Albanian,1100,500,7,25,80,보통,15,지중해 (해안)/대륙성 (내륙),11월~3월,4월~10월,보통,보통,55,28,Y,Unique Permit (원격근무 허가); 티라나 급성장 중; EU 솅겐 비가입; 발칸 반도; 저렴한 유럽 물가; EU 가입 후보국,2026-03-31,N,low,183,N
ARE,UAE (Dubai),아랍에미리트 (두바이),Abu Dhabi / Dubai,AED,UTC+4,Arabic/English,4000,2200,15,80,200,매우높음,28,사막,없음 (드문 강수),10월~5월 (온화),매우높음,매우높음,38,25,Y,Virtual Working Programme; 무세금; 세계적 인프라; 여름 혹서 (45°C+); 2026년 4월 1일부터 VWP 신청 시 은행 잔고 6개월 명세 요구 (기존 3개월),2026-04-03,N,high,183,N
ARG,Argentina,아르헨티나,Buenos Aires,ARS,UTC-3,Spanish,1500,550,7,40,152,높음,18,아열대 (BA)/온대,3~4월 (BA),없음,높음,보통,78,22,Y,DN 비자 보유; 환율 혜택; 부에노스아이레스 카페 문화,,N,low,183,N
BGR,Bulgaria,불가리아,Sofia,BGN,UTC+2,Bulgarian,1500,550,7,25,180,매우높음,13,대륙성,봄·가을,여름,보통,보통,40,21,Y,"DN 비자 2025년 12월 20일 공식 출시; 솅겐 가입; 저렴한 유럽 물가; 연 €31,000 소득 요건 (평균); 2026년 4월 10일 솅겐 EES 발효 → 체류일 전자 추적 시작; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,low,183,Y
COL,Colombia (Medellín),콜롬비아 (메데진),Bogotá,COP,UTC-5,Spanish,1600,500,6,30,100,높음,22,열대 고원 (메데진 '영원한 봄'),4~5월·10~11월,1~3월·7~9월,매우높음,보통,130,6,Y,공식 DN 비자 보유; 메데진 노마드 허브; 저렴한 물가,,N,low,183,N
CPV,Cape Verde,카보베르데,Praia,CVE,UTC-1,Portuguese/Creole,1400,550,7,30,40,보통,25,열대 건조,8월~10월,11월~7월,낮음,낮음,45,26,Y,Remote Working Program; 대서양 섬나라; 한적한 노마드 생활 가능,,N,low,183,Y
CRI,Costa Rica,코스타리카,San José,CRC/USD,UTC-6,Spanish,2500,700,10,60,95,높음,24,열대 몬순,5월~11월,12월~4월,높음,보통,40,16,Y,DN 비자 보유; 생태 관광 허브; 아열대 자연,,N,medium,183,N
CZE,Czech Republic,체코,Prague,CZK,UTC+1,Czech,2300,1100,10,30,160,매우높음,10,대륙성,봄·가을,여름,높음,높음,11,13,N,"전용 DN 비자 없음 (EU 솅겐 90일); 프라하 인프라 우수; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,Y
DEU,Germany,독일,Berlin,EUR,UTC+1,German,3000,1500,15,90,150,매우높음,10,온대 해양성/대륙성,가을~봄,여름,매우높음,매우높음,20,17,N,"전용 DN 비자 없음; Freiberufler(프리랜서)비자 활용; 베를린 스타트업 허브; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,high,183,Y
ESP,Spain (Canary Islands),스페인 (카나리아 제도),Madrid / Las Palmas,EUR,UTC+0 (Canarias),Spanish,2500,1000,13,50,170,매우높음,22,아열대 (카나리아 제도),11월~2월,5월~9월,높음,보통,34,5,Y,"DN 비자 보유; 카나리아 제도 연중 온난; 라스팔마스 인기 도시; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,Y
EST,Estonia,에스토니아,Tallinn,EUR,UTC+2,Estonian,2200,800,12,30,150,매우높음,7,북부 해양성,가을~봄,여름,높음,매우높음,15,12,Y,"Digital Nomad Visa 선구자; e-Residency 프로그램 세계적 유명; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,N
GEO,Georgia,조지아,Tbilisi,GEL,UTC+4,Georgian,1300,700,7,40,150,높음,14,아열대/대륙성,봄·가을 우기,여름·겨울,높음,보통,71,7,Y,Remotely from Georgia 프로그램; 무비자 1년 체류 가능 (한국인),,N,low,180,N
GRC,Greece,그리스,Athens,EUR,UTC+2,Greek,2000,900,12,50,100,높음,18,지중해성,10월~3월,4월~9월,높음,높음,20,32,Y,"디지털 노마드 비자 2021년 도입; 월 €3,500 소득 요건; 1년 체류 후 2년 갱신 거주허가로 전환; EU 솅겐 회원국; 아테네·크레타 인기; EES 2026년 4월 10일 발효; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,Y
HRV,Croatia,크로아티아,Zagreb,EUR,UTC+1,Croatian,2200,750,12,30,130,높음,14,지중해 (해안)/대륙성 (내륙),가을·겨울,봄·여름,보통,높음,22,15,Y,"DN 비자 보유 (2021 도입); 스플리트·두브로브니크 인기; EU 솅겐; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,N
HUN,Hungary,헝가리,Budapest,HUF,UTC+1,Hungarian,2000,900,9,30,175,매우높음,11,대륙성,봄·가을,여름,높음,높음,50,14,Y,"White Card (DN 비자); 부다페스트 저렴한 유럽 생활; 솅겐 지역; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,Y
IDN,Indonesia (Bali),인도네시아 (발리),Jakarta,IDR,UTC+8 (Bali WITA),Indonesian,2000,650,5,80,150,보통,28,열대 습윤,11월~3월,4월~10월,매우높음,보통,50,2,Y,E33G 원격근로 비자; 캉구 코워킹 허브,,N,medium,183,Y
JPN,Japan,일본,Tokyo,JPY,UTC+9,Japanese,2800,1200,12,80,200,매우높음,15,온대 (도쿄)/아열대 (후쿠오카),6월~7월 (장마),10월~11월,높음,낮음,9,31,Y,"디지털 노마드 비자 2024년 4월 도입; 연소득 ¥10,000,000 (~$67,000) 요건; 최대 6개월 체류; 갱신 불가; 한국인 90일 무비자 입국; 후쿠오카·도쿄·오사카 인기 거점; 높은 소득 요건이 진입 장벽",2026-04-03,N,medium,183,Y
KEN,Kenya,케냐,Nairobi,KES,UTC+3,English/Swahili,1500,500,8,50,30,보통,19,열대 고원 (나이로비),3월~5월·10월~12월,1월~2월·6월~9월,보통,매우높음,105,29,Y,Class N 디지털 노마드 퍼밋 (2024년 10월 도입); 나이로비 기술 허브; 아프리카 신흥 노마드 거점; 높은 소득 요건($55K/년),2026-03-31,N,low,183,Y
MAR,Morocco,모로코,Rabat,MAD,UTC+1,Arabic/French,1000,500,6,30,35,보통,18,지중해/사막,10월~3월,4월~9월,보통,보통,78,24,N,공식 DN 비자 없음 (2026년 1분기 현재 미출시; 2025년 도입 불발); 마라케시·아가디르 인기; 관광비자 90일 체류 활용,2026-03-31,N,low,183,N
MEX,Mexico,멕시코,Mexico City,MXN,UTC-6,Spanish,2000,800,6,30,70,보통,18,고원 온대 (CDMX),6월~9월,10월~5월,매우높음,보통,138,8,N,전용 DN 비자 없음; 임시거주비자 활용; 오악사카·플라야델카르멘 인기,,N,medium,183,N
MYS,Malaysia,말레이시아,Kuala Lumpur,MYR,UTC+8,Malay/English,1600,450,5,50,75,높음,27,열대 습윤,연중 산발 (북동 몬순 11~3월),없음,높음,매우높음,10,10,Y,DE Rantau 노마드 비자; 영어 공용어; 코타키나발루·KL 인기,,N,low,182,Y
NLD,Netherlands,네덜란드,Amsterdam,EUR,UTC+1,Dutch,3500,2000,18,100,175,매우높음,11,해양성,연중 (특히 가을~겨울),여름,매우높음,매우높음,18,18,N,"전용 DN 비자 없음; MVV 자영업 비자 활용; 암스테르담 높은 물가; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,high,183,Y
PAN,Panama,파나마,Panama City,USD,UTC-5,Spanish,2500,950,10,50,90,높음,27,열대 습윤,5월~12월,1월~4월,보통,높음,48,19,Y,DN 비자 보유; USD 사용; 중미 금융 허브,,N,medium,183,Y
PHL,Philippines,필리핀,Manila,PHP,UTC+8,Filipino/English,1500,450,4,50,94,보통,27,열대 몬순,6월~11월 (태풍),12월~5월,높음,매우높음,94,11,Y,EO No.86(2025) 기반 DNV 제도 도입. 최소소득/수수료 등 하위 규정은 확인필요.,2026-04-03,N,low,180,Y
PRT,Portugal,포르투갈,Lisbon,EUR,UTC+0,Portuguese,2500,1200,12,45,150,높음,17,지중해성,10월~3월,4월~9월,매우높음,높음,7,4,Y,"D8 비자; 리스본·포르투 인기; EU 생활 가능; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,Y
PRY,Paraguay,파라과이,Asuncion,PYG,UTC-4,Spanish,1300,550,4,30,확인필요,보통,24,아열대,10월~4월,5월~9월,중간,낮음,확인필요,58,N,"Nomads 2026 성장 데이터 기준 Asuncion 급성장(+178%, 4개월 데이터). 장기체류 제도/입국요건은 확인필요.",2026-04-03,N,low,183,확인필요
QAT,Qatar,카타르,Doha,QAR,UTC+3,Arabic,3200,1800,12,55,11,높음,29,사막,11월~4월(약함),5월~10월,중간,높음,확인필요,912,N,"Nomads 2026 성장 데이터 기준 Doha 급성장(+86%, 4개월 데이터). 전용 DN 비자 제도 확인필요.",2026-04-03,N,high,183,확인필요
ROU,Romania,루마니아,Bucharest,RON,UTC+2,Romanian,1500,650,7,20,230,매우높음,11,대륙성,봄·가을,여름,높음,높음,37,20,Y,"DN 비자 보유; EU 내 최고 인터넷 속도 중 하나; 저렴한 물가; 솅겐 2024년 12월 전면 가입; 2026년 4월 10일 EES 발효; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,low,183,Y
SVN,Slovenia,슬로베니아,Ljubljana,EUR,UTC+1,Slovenian,2000,850,12,50,100,높음,10,온대 대륙성,봄·가을,여름,보통,높음,7,27,Y,"DN 비자 2025년 11월 21일 출시; EU 솅겐 회원국; 류블랴나 기반; 아름다운 자연·알프스; 이탈리아·오스트리아 대비 저렴한 물가; 2026년 4월 10일 EES 발효; ETIAS 2026년 4분기 예정; Schengen EES 운영: 2025-10-12 시작, 2026-04-10 전면 시행 예정(Travel Europe/eu-LISA).",2026-04-03,Y,medium,183,N
THA,Thailand,태국,Bangkok,THB,UTC+7,Thai,1500,700,5,50,150,높음,28,열대 몬순,5월~10월,11월~4월,매우높음,보통,76,3,Y,치앙마이/방콕 노마드 허브; DTV 비자 2024년 도입; 2025년 11월부터 연 2회 비자런 제한; 2025년 1월부터 완전 전자비자 시스템 전환; 소프트파워 언어학교 자격 폐지(2025),2026-03-31,N,low,180,Y
TWN,Taiwan,대만,Taipei,TWD,UTC+8,Mandarin Chinese,2000,900,10,30,300,매우높음,24,아열대 습윤,5월~9월,10월~4월,높음,보통,30,30,Y,"디지털 노마드 비자 2025년 1월 도입; 2026년 1월 8일 최대 체류 2년으로 연장 (6개월+3회 연장); 30세 이상 연소득 $40,000 요건; 타이페이 IT 인프라 강세; 한국인 90일 무비자 입국",2026-04-03,N,medium,183,확인필요
URY,Uruguay,우루과이,Montevideo,UYU,UTC-3,Spanish,2000,800,10,30,160,높음,17,온대 해양성,연중 고른 강수,없음,보통,보통,38,23,Y,DN 퍼밋 보유; 최소 소득 요건 없음; 남미 선진국,,N,medium,183,Y
VNM,Vietnam,베트남,Hanoi,VND,UTC+7,Vietnamese,1000,400,3,30,100,높음,27,열대 몬순,5월~11월 (남부),12월~4월,높음,보통,41,9,N,전용 DN 비자 없음; e비자 90일; 저렴한 물가; 다낭·호치민 인기; 2025년 4월 골든비자 제안(미시행); 인터넷 속도 실측 80~100Mbps,2026-03-31,N,low,183,Y
